序号,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
330,1.9,3.6,1015,18,0,1.4,72,52,56,35,17,63,0.7
331,0.4,2,1016,21,0,1.2,123,93,120,82,32,22,1.5
332,-1.1,0.2,1015,25,0,1.2,125,95,125,97,33,6,1.6
333,-3.1,-2.2,1016,32,0,0.7,,,,,,,
334,-3.8,-3.2,1016,36,0,0.6,,,,,,,
335,-4.6,-5,1015,43,0,1,,,,,,,
336,-4.1,-4.1,1016,36,0,1.6,169,128,138,101,47,4,2.3
337,-4.6,-4.3,1015,37,0,0.8,189,142,151,105,52,4,2.7
338,-5.2,-5.2,1015,40,0,0.8,205,155,179,107,52,5,3.5
339,-6.4,-7.1,1015,46,0,0.8,,,,,,,
340,-6.8,-7.9,1015,49,0,1,176,133,179,97,42,4,3.7
341,-7.2,-8.2,1014,49,0,0.7,233,183,241,108,58,8,5.4
342,-7.4,-9.1,1014,55,0,0.9,264,214,250,110,56,10,5.8
343,-6.7,-8.7,1014,54,0,1.7,241,191,216,94,44,7,5.3
344,-7,-8.8,1014,54,0,1.3,178,134,154,94,38,5,4.6
345,-6,-7.8,1015,55,0,1.3,92,68,0,73,29,2,2.3
346,-1.8,-1.9,1015,40,0,1.4,73,53,71,70,26,2,2.4
347,-0.3,-0.1,1016,31,0,2.7,,,,,,,
348,1.4,1.9,1015,28,0,2.8,54,38,50,49,16,15,1.2
349,2.4,3.6,1014,24,0,1.6,44,30,44,34,14,34,0.8
350,3.7,5,1013,20,0,1.9,48,33,42,38,15,36,0.9
351,3.9,5,1012,19,0,2.7,94,43,137,53,16,29,1.2
352,3.8,5.4,1013,19,0,1.3,73,53,67,57,18,32,1.2
353,3.4,5,1013,20,0,1.2,87,64,86,63,26,34,1.3
354,2.7,4.3,1013,22,0,0.9,103,77,103,68,27,32,1.3
355,2.4,3.8,1013,24,0,1,124,94,116,78,28,22,1.5
356,1,2.5,1014,28,0,0.4,140,107,122,89,29,10,1.7
357,0.2,0.9,1015,32,0,1.1,,,,,,,
358,0.9,1,1015,38,0,1.6,139,106,127,94,36,3,1.9
359,-0.5,-3.5,1016,67,0,3.2,142,108,127,93,38,3,2.1
360,-1.7,-5.5,1016,78,0,2.2,218,168,203,99,72,6,2.8
361,-2.2,-6.7,1016,83,0,2.7,261,211,273,95,59,2,3.1
